Date,close,location
2020-02-21,34167.21,United States
2020-02-20,34533.21,United States
2020-02-19,34631.28,United States
2020-02-18,34463.28,United States
2020-02-17,34547.36,United States
2020-02-14,34547.36,United States
2020-02-13,34489.6,United States
2020-02-12,34518.37,United States
2020-02-11,34299.11,United States
2020-02-10,34215.06,United States
2020-02-07,33966.22,United States
2020-02-06,34168.69,United States
2020-02-05,34081.71,United States
2020-02-04,33741.36,United States
2020-02-03,33227.7,United States
2020-01-31,32957.52,United States
2020-01-30,33549.61,United States
2020-01-29,33452.3,United States
2020-01-28,33490.92,United States
2020-01-27,33160.16,United States
2020-01-24,33672.96,United States
2020-01-23,33990.66,United States
2020-01-22,33953.52,United States
2020-01-21,33938.7,United States
2020-01-17,34035.89,United States
2020-01-16,33937.32,United States
2020-01-15,33641.03,United States
2020-01-14,33576.37,United States
2020-01-13,33603.04,United States
2020-01-10,33359.66,United States
2020-01-09,33454.54,United States
2020-01-08,33251.94,United States
2020-01-07,33097.13,United States
2020-01-06,33183.17,United States
2020-01-03,33072.84,United States
2020-01-02,33282.12,United States
2021-04-30,3446.86,China
2021-04-29,3474.9,China
2021-04-28,3457.07,China
2021-04-27,3442.61,China
2021-04-26,3441.17,China
2021-04-23,3474.17,China
2021-04-22,3465.11,China
2021-04-21,3472.93,China
2021-04-20,3472.94,China
2021-04-19,3477.55,China
2021-04-16,3426.62,China
2021-04-15,3398.99,China
2021-04-14,3416.72,China
2021-04-13,3396.47,China
2021-04-12,3412.95,China
2021-04-09,3450.68,China
2021-04-08,3482.55,China
2021-04-07,3479.63,China
2021-04-06,3482.97,China
2021-04-02,3484.39,China
2021-04-01,3466.33,China
2021-03-31,3441.91,China
2021-03-30,3456.68,China
2021-03-29,3435.3,China
2021-03-26,3418.33,China
2021-03-25,3363.59,China
2021-03-24,3367.06,China
2021-03-23,3411.51,China
2021-03-22,3443.44,China
2021-03-19,3404.66,China
2021-03-18,3463.07,China
2021-03-17,3445.55,China
2021-03-16,3446.73,China
2021-03-15,3419.95,China
2021-03-12,3453.08,China
2021-03-11,3436.83,China
2021-03-10,3357.74,China
2021-03-09,3359.29,China
2021-03-08,3421.41,China
2021-03-05,3501.99,China
2021-03-04,3503.49,China
2021-03-03,3576.9,China
2021-03-02,3508.59,China
2021-03-01,3551.4,China
2021-02-26,3509.08,China
2021-02-25,3585.05,China
2021-02-24,3564.08,China
2021-02-23,3636.36,China
2021-02-22,3642.44,China
2021-02-19,3696.17,China
2021-02-18,3675.36,China
2021-02-10,3655.09,China
2021-02-09,3603.49,China
2021-02-08,3532.45,China
2021-02-05,3496.33,China
2021-02-04,3501.86,China
2021-02-03,3517.31,China
2021-02-02,3533.68,China
2021-02-01,3505.28,China
2021-01-29,3483.07,China
2021-01-28,3505.18,China
2021-01-27,3573.34,China
2021-01-26,3569.43,China
2021-01-25,3624.24,China
2021-01-22,3606.75,China
2021-01-21,3621.26,China
2021-01-20,3583.09,China
2021-01-19,3566.38,China
2021-01-18,3596.22,China
